startup,industry,season,ask_amount,equity_offered,sentiment_label,sentiment_score,investment_score,risk_level,verdict,actual_deal,predicted_deal
FiveMinuteFurniture,Lifestyle/Home,3,250000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,0,1
BottleBright,Lifestyle/Home,6,75000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
AuraBora,Food and Beverage,12,150000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Umano,Fashion/Beauty,7,150000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
CowPots,Green/CleanTech,16,200000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
SafeGrabs,Lifestyle/Home,8,75000.0,12.0,Neutral,0,65.0,Medium-Low,Consider,1,1
DoorBot,Lifestyle/Home,5,700000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Sleepy Baby,Children/Education,17,70000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,1,1
CopadiVino,Food and Beverage,2,300000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,0,1
RompN'Roll,Children/Education,1,300000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Kisstixx,Fashion/Beauty,3,200000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
BroccoliWad,Food and Beverage,2,50000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
CocoTaps,Lifestyle/Home,9,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
KooknKap,Food and Beverage,5,50000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,0,1
EveDrop,Lifestyle/Home,6,75000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,0,1
HeidiHo,Food and Beverage,6,125000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
FloatBaby,Children/Education,7,150000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Alchemize Fightwear,Fitness/Sports/Outdoors,17,250000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Cycloramic,Technology/Software,5,90000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
KidsLuv,Food and Beverage,11,200000.0,8.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Ryan'sBarkery,Pet Products,4,25000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,1,1
TickMitt,Pet Products,16,250000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
ESAI,Children/Education,16,250000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
TwinZPillow,Children/Education,6,75000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
SuperPottyTrainer,Uncertain/Other,12,300000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Magic5,Fitness/Sports/Outdoors,13,500000.0,2.5,Neutral,0,61.0,Medium-Low,Consider,1,1
TheSpooner,Fitness/Sports/Outdoors,7,400000.0,16.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Sweetkiwi,Food and Beverage,14,250000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
SundayNightSlowJams,Lifestyle/Home,5,75000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
PinkPicasso,Lifestyle/Home,13,400000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
